req2_content,req1_content,cos,pos_overlap_ratio,opposite_overlap_count,jaccard,euclidean,levenshtein,jensen_shannon,ngram,bm25,decision
Allow users to create and manage their profiles with relevant information.,"Implement secure user authentication with roles for students, teachers, and administrators.",0.101,0,0,0.1,1.341,66,0.818,0,3.204,No
"Differentiate between student, teacher, and administrator profiles.","Implement secure user authentication with roles for students, teachers, and administrators.",0.061,0,0,0.059,1.37,50,0.887,0,1.284,No
"Enable teachers to create, edit, and delete courses.","Implement secure user authentication with roles for students, teachers, and administrators.",0.121,0.167,0,0.056,1.326,65,0.894,0,1.355,No
"Provide options for adding course materials, assignments, and assessments.","Implement secure user authentication with roles for students, teachers, and administrators.",0.113,0,0,0.111,1.332,65,0.799,0,2.865,No
"Support various file formats for uploading learning materials (documents, presentations, videos).","Implement secure user authentication with roles for students, teachers, and administrators.",0.048,0,0,0.048,1.38,78,0.909,0,1.602,No
Implement a user-friendly interface for easy navigation through learning materials.,"Implement secure user authentication with roles for students, teachers, and administrators.",0.169,0,0,0.105,1.289,59,0.809,0,3.029,No
"Admin will create, edit, and delete courses.","Implement secure user authentication with roles for students, teachers, and administrators.",0.061,0,0,0.059,1.37,68,0.887,0,1.284,No
Support various file formats for uploading materials.,"Implement secure user authentication with roles for students, teachers, and administrators.",0.061,0,0,0.059,1.37,66,0.887,0,1.284,No
Provide options for taking exams and assignments.,"Implement secure user authentication with roles for students, teachers, and administrators.",0.13,0,0,0.125,1.319,63,0.775,0,2.567,No
Allow teachers to create assignments and assessments.,"Implement secure user authentication with roles for students, teachers, and administrators.",0.13,0.167,0,0.059,1.319,66,0.887,0,1.284,No
Provide a submission and grading system for assignments.,"Implement secure user authentication with roles for students, teachers, and administrators.",0.13,0,0,0.118,1.319,67,0.788,0,2.711,No
Generate automatic feedback for assessments.,"Implement secure user authentication with roles for students, teachers, and administrators.",0.074,0,0,0.067,1.361,65,0.87,0,1.158,No
Include a messaging system between students and teachers.,"Implement secure user authentication with roles for students, teachers, and administrators.",0.21,0.333,0,0.056,1.257,61,0.894,0,1.355,No
Support discussion forums will be there.,"Implement secure user authentication with roles for students, teachers, and administrators.",0,0,0,0,1.414,71,1,0,0,No
A tracking system for student progress.,"Implement secure user authentication with roles for students, teachers, and administrators.",0.074,0,0,0.062,1.361,67,0.879,0,1.217,No
Provide dashboards to monitor performance.,"Implement secure user authentication with roles for students, teachers, and administrators.",0,0,0,0,1.414,73,1,0,0,No
"Send timely notifications for upcoming assignments, assessments, and announcements.","Implement secure user authentication with roles for students, teachers, and administrators.",0.113,0,0,0.111,1.332,62,0.799,0,2.865,No
Generate automatic feedback for exams.,"Implement secure user authentication with roles for students, teachers, and administrators.",0.074,0,0,0.067,1.361,68,0.87,0,1.158,No
Chatting system should be available.,"Implement secure user authentication with roles for students, teachers, and administrators.",0,0,0,0,1.414,73,1,0,0,No
A forum will be there for discussion.,"Implement secure user authentication with roles for students, teachers, and administrators.",0.067,0,0,0.059,1.366,69,0.887,0,1.284,No
Automated progress tracking should be available.,"Implement secure user authentication with roles for students, teachers, and administrators.",0,0,0,0,1.414,70,1,0,0,No
Dashboard should contain link to monitor performances.,"Implement secure user authentication with roles for students, teachers, and administrators.",0,0,0,0,1.414,68,1,0,0,No
"Differentiate between student, teacher, and administrator profiles.",Allow users to create and manage their profiles with relevant information.,0.13,0.2,0,0.059,1.319,61,0.887,0,1.284,No
"Enable teachers to create, edit, and delete courses.",Allow users to create and manage their profiles with relevant information.,0.193,0.5,0,0.118,1.271,53,0.788,0,2.711,No
"Provide options for adding course materials, assignments, and assessments.",Allow users to create and manage their profiles with relevant information.,0.054,0,0,0.053,1.376,61,0.9,0,1.433,No
"Support various file formats for uploading learning materials (documents, presentations, videos).",Allow users to create and manage their profiles with relevant information.,0,0,0,0,1.414,71,1,0,0,No
Implement a user-friendly interface for easy navigation through learning materials.,Allow users to create and manage their profiles with relevant information.,0,0,0,0,1.414,63,1,0,0,No
"Admin will create, edit, and delete courses.",Allow users to create and manage their profiles with relevant information.,0.13,0.5,0,0.059,1.319,54,0.887,0,1.284,No
Support various file formats for uploading materials.,Allow users to create and manage their profiles with relevant information.,0,0,0,0,1.414,57,1,0,0,No
Provide options for taking exams and assignments.,Allow users to create and manage their profiles with relevant information.,0.061,0,0,0.059,1.37,57,0.887,0,1.284,No
Allow teachers to create assignments and assessments.,Allow users to create and manage their profiles with relevant information.,0.301,0.5,0,0.286,1.183,46,0.549,0,5.135,No
Provide a submission and grading system for assignments.,Allow users to create and manage their profiles with relevant information.,0.061,0,0,0.056,1.37,58,0.894,0,1.355,No
Generate automatic feedback for assessments.,Allow users to create and manage their profiles with relevant information.,0,0,0,0,1.414,56,1,0,0,No
Include a messaging system between students and teachers.,Allow users to create and manage their profiles with relevant information.,0.061,0,0,0.056,1.37,56,0.894,0,1.355,No
Support discussion forums will be there.,Allow users to create and manage their profiles with relevant information.,0,0,0,0,1.414,57,1,0,0,No
A tracking system for student progress.,Allow users to create and manage their profiles with relevant information.,0,0,0,0,1.414,55,1,0,0,No
Provide dashboards to monitor performance.,Allow users to create and manage their profiles with relevant information.,0.074,0,0,0.067,1.361,55,0.87,0,1.158,No
"Send timely notifications for upcoming assignments, assessments, and announcements.",Allow users to create and manage their profiles with relevant information.,0.054,0,0,0.053,1.376,65,0.9,0,1.433,No
Generate automatic feedback for exams.,Allow users to create and manage their profiles with relevant information.,0,0,0,0,1.414,53,1,0,0,No
Chatting system should be available.,Allow users to create and manage their profiles with relevant information.,0,0,0,0,1.414,58,1,0,0,No
A forum will be there for discussion.,Allow users to create and manage their profiles with relevant information.,0,0,0,0,1.414,55,1,0,0,No
Automated progress tracking should be available.,Allow users to create and manage their profiles with relevant information.,0,0,0,0,1.414,54,1,0,0,No
Dashboard should contain link to monitor performances.,Allow users to create and manage their profiles with relevant information.,0.061,0,0,0.059,1.37,55,0.887,0,1.284,No
"Enable teachers to create, edit, and delete courses.","Differentiate between student, teacher, and administrator profiles.",0.072,0,0,0.071,1.362,45,0.867,0,1.033,No
"Provide options for adding course materials, assignments, and assessments.","Differentiate between student, teacher, and administrator profiles.",0.068,0,0,0.067,1.365,55,0.874,0,1.128,No
"Support various file formats for uploading learning materials (documents, presentations, videos).","Differentiate between student, teacher, and administrator profiles.",0,0,0,0,1.414,73,1,0,0,No
Implement a user-friendly interface for easy navigation through learning materials.,"Differentiate between student, teacher, and administrator profiles.",0,0,0,0,1.414,62,1,0,0,No
"Admin will create, edit, and delete courses.","Differentiate between student, teacher, and administrator profiles.",0.078,0,0,0.077,1.358,46,0.857,0,0.946,No
Support various file formats for uploading materials.,"Differentiate between student, teacher, and administrator profiles.",0,0,0,0,1.414,50,1,0,0,No
Provide options for taking exams and assignments.,"Differentiate between student, teacher, and administrator profiles.",0.078,0,0,0.077,1.358,50,0.857,0,0.946,No
Allow teachers to create assignments and assessments.,"Differentiate between student, teacher, and administrator profiles.",0.078,0,0,0.077,1.358,52,0.857,0,0.946,No
Provide a submission and grading system for assignments.,"Differentiate between student, teacher, and administrator profiles.",0.078,0,0,0.071,1.358,52,0.867,0,1.033,No
Generate automatic feedback for assessments.,"Differentiate between student, teacher, and administrator profiles.",0,0,0,0,1.414,50,1,0,0,No
Include a messaging system between students and teachers.,"Differentiate between student, teacher, and administrator profiles.",0.168,0,0,0.154,1.29,49,0.733,0,2.067,No
Support discussion forums will be there.,"Differentiate between student, teacher, and administrator profiles.",0,0,0,0,1.414,54,1,0,0,No
A tracking system for student progress.,"Differentiate between student, teacher, and administrator profiles.",0.093,0.2,0,0,1.346,49,1,0,0,Yes
Provide dashboards to monitor performance.,"Differentiate between student, teacher, and administrator profiles.",0,0,0,0,1.414,51,1,0,0,No
"Send timely notifications for upcoming assignments, assessments, and announcements.","Differentiate between student, teacher, and administrator profiles.",0.068,0,0,0.067,1.365,64,0.874,0,1.128,No
Generate automatic feedback for exams.,"Differentiate between student, teacher, and administrator profiles.",0,0,0,0,1.414,49,1,0,0,No
Chatting system should be available.,"Differentiate between student, teacher, and administrator profiles.",0,0,0,0,1.414,51,1,0,0,No
A forum will be there for discussion.,"Differentiate between student, teacher, and administrator profiles.",0,0,0,0,1.414,49,1,0,0,No
Automated progress tracking should be available.,"Differentiate between student, teacher, and administrator profiles.",0,0,0,0,1.414,52,1,0,0,No
Dashboard should contain link to monitor performances.,"Differentiate between student, teacher, and administrator profiles.",0,0,0,0,1.414,50,1,0,0,No
"Provide options for adding course materials, assignments, and assessments.","Enable teachers to create, edit, and delete courses.",0.063,0,0,0.062,1.369,53,0.882,0,1.239,No
"Support various file formats for uploading learning materials (documents, presentations, videos).","Enable teachers to create, edit, and delete courses.",0,0,0,0,1.414,74,1,0,0,No
Implement a user-friendly interface for easy navigation through learning materials.,"Enable teachers to create, edit, and delete courses.",0,0,0,0,1.414,63,1,0,0,No
"Admin will create, edit, and delete courses.","Enable teachers to create, edit, and delete courses.",0.506,1,0,0.5,0.994,17,0.333,0.375,5.308,Yes
Support various file formats for uploading materials.,"Enable teachers to create, edit, and delete courses.",0,0,0,0,1.414,44,1,0,0,No
Provide options for taking exams and assignments.,"Enable teachers to create, edit, and delete courses.",0.072,0,0,0.071,1.362,39,0.867,0,1.062,No
